30	63	Zn	-62213.397	1.561
31	63	Ga	-56547.093	1.304
32	63	Ge	-46921.216	37.26
33	63	As	-33500#	200#
22	64	Ti	-1025#	600#
23	64	V	-16320#	400#
24	64	Cr	-33479.757	439.665
25	64	Mn	-42989.035	3.54
26	64	Fe	-54969.544	5.017
27	64	Co	-59792.329	20.006
28	64	Ni	-67098.921	0.475
29	64	Cu	-65424.545	0.448
30	64	Zn	-66004.014	0.647
31	64	Ga	-58832.821	1.429
32	64	Ge	-54315.496	3.726
33	64	As	-39532#	203#
34	64	Se	-26700#	503#
23	65	V	-11780#	500#
24	65	Cr	-28220#	300#
25	65	Mn	-40967.339	3.726
26	65	Fe	-51217.895	5.112
27	65	Co	-59185.198	2.083
28	65	Ni	-65125.685	0.495
29	65	Cu	-67263.66	0.65
30	65	Zn	-65912.019	0.65
31	65	Ga	-62657.507	0.815
32	65	Ge	-56478.216	2.165
33	65	As	-46937.051	84.766
34	65	Se	-33020#	300#
23	66	V	-5610#	500#
24	66	Cr	-24720#	400#
25	66	Mn	-36750.387	11.178
26	66	Fe	-50067.839	4.099
27	66	Co	-56408.533	13.972
28	66	Ni	-66006.285	1.397
29	66	Cu	-66258.272	0.655
30	66	Zn	-68899.16	0.749
31	66	Ga	-63723.66	1.096
32	66	Ge	-61607.032	2.401
33	66	As	-52025.077	5.682
34	66	Se	-41660#	200#
23	67	V	-650#	600#
24	67	Cr	-18680#	400#
25	67	Mn	-33460#	300#
26	67	Fe	-45610.155	270.285
27	67	Co	-55321.775	6.443
28	67	Ni	-63742.68	2.888
29	67	Cu	-67319.513	0.894
30	67	Zn	-67880.313	0.76
31	67	Ga	-66879.048	1.181
32	67	Ge	-62658.23	4.661
33	67	As	-56587.225	0.443
34	67	Se	-46580.289	67.068
35	67	Br	-32790#	400#
24	68	Cr	-14800#	500#
25	68	Mn	-28380#	400#
26	68	Fe	-43486.914	365.259
27	68	Co	-51930.665	189.497
28	68	Ni	-63463.814	2.981
29	68	Cu	-65567.035	1.584
30	68	Zn	-70007.092	0.784
31	68	Ga	-67085.992	1.433
32	68	Ge	-66978.789	1.876
33	68	As	-58894.519	1.846
34	68	Se	-54189.441	0.496
35	68	Br	-38791#	259#
24	69	Cr	-8580#	500#
25	69	Mn	-24770#	400#
26	69	Fe	-39030#	400#
